time,temp
2011-2-1 00:00:00,-5.341482365009199
2011-2-1 12:00:00,-3.9090142750641235
2011-2-2 00:00:00,-8.007751085715256
2011-2-2 12:00:00,-3.684089801483708
2011-2-3 00:00:00,-6.473436943130196
2011-2-3 12:00:00,-2.6285054696854786
2011-2-4 00:00:00,-8.233304452010941
2011-2-4 12:00:00,-3.0097758731096746
2011-2-5 00:00:00,-5.2595888537691735
2011-2-5 12:00:00,-6.916058045178772
2011-2-6 00:00:00,-8.262377027093123
2011-2-6 12:00:00,-5.901438879339253
2011-2-7 00:00:00,-8.60778280859796
2011-2-7 12:00:00,-4.9499985044942605
2011-2-8 00:00:00,-6.820409408195189
2011-2-8 12:00:00,-3.9985581296492683
2011-2-9 00:00:00,-16.507010419681592
2011-2-9 12:00:00,-7.122026048257737
2011-2-10 00:00:00,-9.147133281972174
2011-2-10 12:00:00,-10.868744463017492
2011-2-11 00:00:00,-16.417220462588887
2011-2-11 12:00:00,-14.615462877777304
2011-2-12 00:00:00,-19.203439731130686
2011-2-12 12:00:00,-11.880985439942492
2011-2-13 00:00:00,-15.851302127794838
2011-2-13 12:00:00,-13.552691970637795
2011-2-14 00:00:00,-19.470067397699893
2011-2-14 12:00:00,-14.664853077739508
2011-2-15 00:00:00,-15.41318917770036
2011-2-15 12:00:00,-13.014844181713045
2011-2-16 00:00:00,-17.33535020804439
2011-2-16 12:00:00,-16.453314134495486
2011-2-17 00:00:00,-14.350760201885748
2011-2-17 12:00:00,-12.624676833886042
2011-2-18 00:00:00,-18.512541204241188
2011-2-18 12:00:00,-12.682782718920521
2011-2-19 00:00:00,-20.333252573486163
2011-2-19 12:00:00,-14.411841591147095
2011-2-20 00:00:00,-18.328610449788613
2011-2-20 12:00:00,-13.954058248718638
2011-2-21 00:00:00,-16.368752861522978
2011-2-21 12:00:00,-13.591677785152683
2011-2-22 00:00:00,-20.649862808205484
2011-2-22 12:00:00,-14.40491103098526
2011-2-23 00:00:00,-19.067663040428897
2011-2-23 12:00:00,-15.082940238745778
2011-2-24 00:00:00,-13.7084502336117
2011-2-24 12:00:00,-13.001430594768749
2011-2-25 00:00:00,-9.315115544240825
2011-2-25 12:00:00,-4.674865684635961
2011-2-26 00:00:00,-12.000942316414353
2011-2-26 12:00:00,-5.030120393468337
2011-2-27 00:00:00,-11.680891417586452
2011-2-27 12:00:00,-5.385375102300657
2011-2-28 00:00:00,-12.205235731583002
2011-2-28 12:00:00,-5.482855337825811
2011-3-1 00:00:00,-9.03013900886765
2011-3-1 12:00:00,-6.038022501411888
2011-3-2 00:00:00,-7.900335318947384
2011-3-2 12:00:00,-3.5773917721971884
2011-3-3 00:00:00,-6.8767363586472925
2011-3-3 12:00:00,-2.273482673231115
2011-3-4 00:00:00,-3.5865567276629804
2011-3-4 12:00:00,-1.6790033736980945
2011-3-5 00:00:00,-7.46698765163228
2011-3-5 12:00:00,-1.3522601808477361
2011-3-6 00:00:00,-8.210626918257276
2011-3-6 12:00:00,-2.8956916148211462
2011-3-7 00:00:00,-6.444381965148295
2011-3-7 12:00:00,-2.2257796925156867
2011-3-8 00:00:00,-3.9011296706513576
2011-3-8 12:00:00,0.5800692610534384
2011-3-9 00:00:00,-7.656234461637894
2011-3-9 12:00:00,-1.4882320073229494
2011-3-10 00:00:00,-11.470726195057296
2011-3-10 12:00:00,-7.744065900180601
2011-3-11 00:00:00,-7.718118490017503
2011-3-11 12:00:00,-5.258321532661341
2011-3-12 00:00:00,-8.628747304369483
2011-3-12 12:00:00,-3.1258287658937434
2011-3-13 00:00:00,-5.385019259152614
2011-3-13 12:00:00,-3.2249349564848444
2011-3-14 00:00:00,-9.801990089686285
2011-3-14 12:00:00,-3.3240411470760023
2011-3-15 00:00:00,-8.897482770454133
2011-3-15 12:00:00,-2.3295957331158093
2011-3-16 00:00:00,-9.201379429118731
2011-3-16 12:00:00,-3.0688609299500627
2011-3-17 00:00:00,-9.979230265634385
2011-3-17 12:00:00,-4.0738014647620275
2011-3-18 00:00:00,-9.74772339878109
2011-3-18 12:00:00,-2.775169322538659
2011-3-19 00:00:00,-8.53902617113772
2011-3-19 12:00:00,-1.4765371803152334
2011-3-20 00:00:00,-5.221302610432986
2011-3-20 12:00:00,-0.8410047423781748
2011-3-21 00:00:00,0.9337027900274961
2011-3-21 12:00:00,1.6561123589014528
2011-3-22 00:00:00,-1.8063859885021998
2011-3-22 12:00:00,3.8971144780647364
2011-3-23 00:00:00,-1.0139614662970189
2011-3-23 12:00:00,1.5515067925658172
2011-3-24 00:00:00,-5.333279861108565
2011-3-24 12:00:00,2.2115160454413285
2011-3-25 00:00:00,-8.220426285019528
2011-3-25 12:00:00,-3.09847990480813
2011-3-26 00:00:00,-6.44779380413587
2011-3-26 12:00:00,-0.9714458622075313
2011-3-27 00:00:00,-6.086614226102029
2011-3-27 12:00:00,0.5486284859881039
2011-3-28 00:00:00,-8.282638067402843
2011-3-28 12:00:00,0.717143931284113
2011-3-29 00:00:00,-6.729110093519182
2011-3-29 12:00:00,-2.4110610363240426
2011-3-30 00:00:00,-8.819045627267144
2011-3-30 12:00:00,-1.3731657499859011
2011-3-31 00:00:00,-10.916830429001322
2011-3-31 12:00:00,-0.8351245737640056
2011-4-1 00:00:00,-3.7745157331697214
2011-4-1 12:00:00,1.3925252800249268
2011-4-2 00:00:00,-2.4100652990820777
2011-4-2 12:00:00,1.2618068797779642
2011-4-3 00:00:00,-3.1462005690424917
2011-4-3 12:00:00,1.1310884795309448
2011-4-4 00:00:00,-1.1592701332387492
