,time,temp_night,temp_day,avg
0,2011-02-01,-5.341482365009199,-3.9090142750641235,-4.625248320036661
1,2011-02-02,-8.007751085715256,-3.684089801483708,-5.845920443599482
2,2011-02-03,-6.473436943130196,-2.6285054696854786,-4.550971206407837
3,2011-02-04,-8.233304452010941,-3.0097758731096746,-5.621540162560308
4,2011-02-05,-5.2595888537691735,-6.916058045178772,-6.087823449473973
5,2011-02-06,-8.262377027093123,-5.901438879339253,-7.081907953216188
6,2011-02-07,-8.60778280859796,-4.9499985044942605,-6.7788906565461104
7,2011-02-08,-6.820409408195189,-3.9985581296492683,-5.409483768922229
8,2011-02-09,-16.507010419681592,-7.122026048257737,-11.814518233969665
9,2011-02-10,-9.147133281972174,-10.868744463017492,-10.007938872494833
10,2011-02-11,-16.417220462588887,-14.615462877777304,-15.516341670183095
11,2011-02-12,-19.203439731130686,-11.880985439942492,-15.54221258553659
12,2011-02-13,-15.851302127794838,-13.552691970637795,-14.701997049216317
13,2011-02-14,-19.470067397699893,-14.664853077739508,-17.0674602377197
14,2011-02-15,-15.41318917770036,-13.014844181713045,-14.214016679706702
15,2011-02-16,-17.33535020804439,-16.453314134495486,-16.894332171269937
16,2011-02-17,-14.350760201885748,-12.624676833886042,-13.487718517885895
17,2011-02-18,-18.512541204241188,-12.682782718920521,-15.597661961580854
18,2011-02-19,-20.333252573486163,-14.411841591147095,-17.37254708231663
19,2011-02-20,-18.328610449788613,-13.954058248718638,-16.141334349253626
20,2011-02-21,-16.368752861522978,-13.591677785152683,-14.98021532333783
21,2011-02-22,-20.649862808205484,-14.40491103098526,-17.527386919595372
22,2011-02-23,-19.067663040428897,-15.082940238745778,-17.075301639587337
23,2011-02-24,-13.7084502336117,-13.001430594768749,-13.354940414190224
24,2011-02-25,-9.315115544240825,-4.674865684635961,-6.994990614438393
25,2011-02-26,-12.000942316414353,-5.030120393468337,-8.515531354941345
26,2011-02-27,-11.680891417586452,-5.385375102300657,-8.533133259943554
27,2011-02-28,-12.205235731583002,-5.482855337825811,-8.844045534704406
28,2011-03-01,-9.03013900886765,-6.038022501411888,-7.534080755139769
29,2011-03-02,-7.900335318947384,-3.5773917721971884,-5.738863545572286
30,2011-03-03,-6.8767363586472925,-2.273482673231115,-4.575109515939204
31,2011-03-04,-3.5865567276629804,-1.6790033736980945,-2.6327800506805374
32,2011-03-05,-7.46698765163228,-1.3522601808477361,-4.409623916240008
33,2011-03-06,-8.210626918257276,-2.8956916148211462,-5.553159266539211
34,2011-03-07,-6.444381965148295,-2.2257796925156867,-4.335080828831991
35,2011-03-08,-3.9011296706513576,0.5800692610534384,-1.6605302047989596
36,2011-03-09,-7.656234461637894,-1.4882320073229494,-4.5722332344804215
37,2011-03-10,-11.470726195057296,-7.744065900180601,-9.607396047618948
38,2011-03-11,-7.718118490017503,-5.258321532661341,-6.488220011339422
39,2011-03-12,-8.628747304369483,-3.1258287658937434,-5.877288035131613
40,2011-03-13,-5.385019259152614,-3.2249349564848444,-4.304977107818729
41,2011-03-14,-9.801990089686285,-3.3240411470760023,-6.563015618381144
42,2011-03-15,-8.897482770454133,-2.3295957331158093,-5.613539251784971
43,2011-03-16,-9.201379429118731,-3.0688609299500627,-6.135120179534397
44,2011-03-17,-9.979230265634385,-4.0738014647620275,-7.026515865198206
45,2011-03-18,-9.74772339878109,-2.775169322538659,-6.261446360659875
46,2011-03-19,-8.53902617113772,-1.4765371803152334,-5.007781675726477
47,2011-03-20,-5.221302610432986,-0.8410047423781748,-3.03115367640558
48,2011-03-21,0.9337027900274961,1.6561123589014528,1.2949075744644745
49,2011-03-22,-1.8063859885021998,3.8971144780647364,1.0453642447812683
50,2011-03-23,-1.0139614662970189,1.5515067925658172,0.2687726631343992
51,2011-03-24,-5.333279861108565,2.2115160454413285,-1.5608819078336182
52,2011-03-25,-8.220426285019528,-3.09847990480813,-5.659453094913829
53,2011-03-26,-6.44779380413587,-0.9714458622075313,-3.7096198331717005
54,2011-03-27,-6.086614226102029,0.5486284859881039,-2.7689928700569624
55,2011-03-28,-8.282638067402843,0.717143931284113,-3.782747068059365
56,2011-03-29,-6.729110093519182,-2.4110610363240426,-4.570085564921612
57,2011-03-30,-8.819045627267144,-1.3731657499859011,-5.096105688626523
58,2011-03-31,-10.916830429001322,-0.8351245737640056,-5.875977501382664
59,2011-04-01,-3.7745157331697214,1.3925252800249268,-1.1909952265723973
60,2011-04-02,-2.4100652990820777,1.2618068797779642,-0.5741292096520567
61,2011-04-03,-3.1462005690424917,1.1310884795309448,-1.0075560447557734
62,2011-04-04,-1.1592701332387492,4.440541900941241,1.640635883851246
63,2011-04-05,-2.8487523661581236,3.7899483034242394,0.4705979686330579
64,2011-04-06,-0.14481429572532534,3.1393547059072944,1.4972702050909845
65,2011-04-07,-0.2800206545915671,4.478813115346497,2.099396230377465
66,2011-04-08,0.8459381072131009,5.746906290115646,3.2964221986643736
67,2011-04-09,0.9439849335986423,7.4040703348889,4.174027634243771
68,2011-04-10,1.7782082740394571,10.786125385048706,6.282166829544082
69,2011-04-11,2.612431614480215,10.588917036051498,6.600674325265857
70,2011-04-12,-3.044219664698744,7.991579396127975,2.4736798657146153
71,2011-04-13,-3.4177451730884627,2.57432625914214,-0.4217094569731614
72,2011-04-14,-1.2964301892791354,6.3597574307676155,2.53166362074424
73,2011-04-15,-3.5321676507423945,8.851391206070673,2.6596117776641393
74,2011-04-16,2.0639180563614445,8.478430711771352,5.2711743840663985
75,2011-04-17,3.0958582088018716,10.35179082035961,6.723824514580741
